Budget_function,Title as it Appears in Source,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,Notes
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0,0,0,0,0,0,0,0,0,0,
Energy,Oil and gas,<50,<50,<50,<50,<50,800,800,800,700,800,800,800,800,700,800,
Energy,Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,"Five-year MACRS for certain energy property (solar, wind, etc)",<50,<50,<50,<50,<50,300,300,200,200,100,300,300,200,200,100,
Energy,15-year MACRS for natural gas distribution line,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,
Energy,Credit for holder of qualified energy conservation bonds,<50,<50,<50,<50,100,0,0,0,0,0,0,0,0,0,100,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Energy,Credit for clean-fuel vehicle refueling property,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Hybrid vehicles,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Other alternative fuel vehicles,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Election to expense 50 percent of qualified property used to refine liquid fuels,0,0,0,0,0,800,700,600,600,400,800,700,600,600,400,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,100,200,200,200,200,200,200,300,300,200,300,400,500,500,400,
Commerce and housing,Depreciation of equipment in excess of the alternative depreciation system,23400,10500,-2400,>-50,2300,52300,24900,-6500,-700,5300,75700,35400,-8900,-700,7600,Includes bonus depreciation and general acceleration under MACRS. 
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,5100,4700,4600,4000,4000,600,500,500,400,400,5700,5200,5100,4400,4400,
Commerce and housing,Amortization of business startup costs,1300,1100,1000,900,800,100,100,<50,<50,<50,1400,1200,1000,900,800,
Commerce and housing,Exclusion for gain from certain small business stock,300,400,300,500,700,0,0,0,0,0,300,400,300,500,700,
Commerce and housing,Exclusion of capital gains on sales of principal residences,18400,22900,26100,27200,28500,0,0,0,0,0,18400,22900,26100,27200,28500,
Commerce and housing,Carryover basis of capital gains on gifts,6300,6300,22100,-2400,-5700,0,0,0,0,0,6300,6300,22100,-2400,-5700,
Commerce and housing,"Cash accounting, other than agriculture",1000,1100,1100,1200,1300,<50,<50,<50,<50,<50,1000,1100,1100,1200,1300,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,700,700,800,800,900,700,700,800,800,900,
Commerce and housing,Credit for employer-paid FICA taxes on tips,400,500,500,500,500,400,400,500,500,500,800,900,1000,1000,1000,
Commerce and housing,Credit for low-income housing,300,300,300,300,300,5100,5300,5600,5900,6200,5400,5600,5900,6200,6500,
Commerce and housing,Credit for rehabilitation of historic structures,100,200,200,200,200,400,400,400,400,400,500,600,600,600,600,
Commerce and housing,"Credit for rehabilitation of structures, other than historic structures",100,200,200,200,200,100,100,100,100,100,200,300,300,300,300,
Commerce and housing,Credit for the cost of carrying tax-paid distilled spirits in wholesale inventories,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,77600,83700,89600,99800,113400,0,0,0,0,0,77600,83700,89600,99800,113400,
Commerce and housing,Deduction for property taxes on real property,24300,15100,22800,27100,27800,0,0,0,0,0,24300,15100,22800,27100,27800,
Commerce and housing,Deduction for premiums for qualified mortgage insurance,200,<50,0,0,0,0,0,0,0,0,200,0,0,0,0,
Commerce and housing,Deduction for income attributable to domestic production activities,3400,4100,4700,5300,5600,8900,9300,9700,10300,10800,12300,13400,14400,15600,16400,
Commerce and housing,Deferral of gain on like-kind exchanges,600,1000,1000,1300,1400,1300,1700,2000,2300,2600,1900,2700,3000,3600,4000,
Commerce and housing,Deferral of gain on non-dealer installment sales,-1300,1300,2600,2700,2100,1300,6000,7000,6900,6900,0,7300,9600,9600,9000,Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. 
Commerce and housing,Exclusion of income attributable to the discharge of principal residence acquisition indebtedness,1000,1000,300,0,0,0,0,0,0,0,1000,1000,300,0,0,
Commerce and housing,Distributions in redemption of stock to pay various taxes imposed at death,<50,100,100,200,200,0,0,0,0,0,0,100,100,200,200,
Commerce and housing,Exemptions from imputed interest rules,500,500,600,600,600,<50,<50,<50,<50,<50,500,500,600,600,600,
Commerce and housing,Exclusion of gain or loss on sale or exchange of brownfield property,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,25700,26300,27000,27700,28400,2500,2600,2600,2700,2800,28200,28900,29600,30400,31200,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for owner-occupied housing,800,800,1000,1100,1100,300,300,300,400,400,1100,1100,1300,1500,1500,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for rental housing,600,700,800,800,900,300,300,300,300,300,900,1000,1100,1100,1200,
Commerce and housing,Exclusion of interest on State and local government small-issue qualified private activity bonds,200,300,300,300,300,100,100,100,100,100,300,400,400,400,400,
Commerce and housing,Exclusion of interest on State and local qualified private activity bonds for green buildings and sustainable design projects,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Exemption of credit union income,0,0,0,0,0,400,500,500,700,700,400,500,500,700,700,
Commerce and housing,Expensing under section 179 of depreciable business property,4600,5100,200,-1500,-700,1100,1200,<50,-300,-200,5700,6300,200,-1800,-900,
Commerce and housing,Expensing of costs to remove architectural and transportation barriers to the handicapped and elderly,<50,<50,<50,<50,<50,100,100,100,100,100,100,100,100,100,100,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0,0,0,0,0,3200,3200,3100,3100,3100,3200,3200,3100,3100,3100,
Commerce and housing,Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,500,<50,<50,<50,<50,6900,500,300,<50,<50,7400,500,300,0,0,
Commerce and housing,Income recognition rule for gain or loss from section 1256 contracts,600,800,900,900,900,<50,<50,<50,<50,<50,600,800,900,900,900,
Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,0,0,0,0,0,700,700,800,800,800,700,700,800,800,800,
Commerce and housing,Inventory methods and valuation: Last in first out,500,600,600,700,700,3800,4000,4200,4400,4600,4300,4600,4800,5100,5300,
Commerce and housing,Inventory methods and valuation: Lower of cost or market,100,100,100,100,100,400,400,500,500,600,500,500,600,600,700,
Commerce and housing,Specific identification for homogeneous products,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Net alternative minimum tax attributable 10 net operating loss limitation,-100,-100,-100,-100,-100,-500,-500,-500,-500,-500,-600,-600,-600,-600,-600,This is a negative tax expenditure for the 2011-2015 period.
Commerce and housing,Proration for property and casualty insurance companies,0,0,0,0,0,300,400,400,400,400,300,400,400,400,400,
Commerce and housing,Reduced rates of tax on dividends and long-term capital gains,90500,93100,110400,71400,91300,0,0,0,0,0,90500,93100,110400,71400,91300,
Commerce and housing,Small life insurance company taxable income adjustment,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,
Commerce and housing,Tax-exempt status and election to be taxed only on investment income for certain small property and casualty insurance companies,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0,0,0,0,0,400,400,400,500,500,400,400,400,500,500,
Commerce and housing,"Special rules for magazine, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0,0,0,0,0,2300,2400,2600,2700,2800,2300,2400,2600,2700,2800,
Commerce and housing,Exclusion of capital gains at death,38000,36300,43900,54300,58300,0,0,0,0,0,38000,36300,43900,54300,58300,
Commerce and housing,Surtax on unearned income,0,0,-16500,-22900,-23800,0,0,0,0,0,0,0,-16500,-22900,-23800,This is a negative tax expenditure for the 2011-2015 period.
Transportation,Deferral of tax on capital construction funds of shipping companies,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,
Transportation,"Exclusion of employer-paid transportation benefits (parking, van pools, and transit passes)",5000,5200,5500,5700,5800,0,0,0,0,0,5000,5200,5500,5700,5800,
Transportation,Exclusion of interest on State and local government qualified private activity bonds for highway projects and rail-truck transfer facilities,100,100,100,100,100,<50,<50,<50,<50,100,100,100,100,100,200,
Transportation,"Exclusion of interest on State and local government qualified private activity bonds for private airports, docks, and mass-commuting facilities",600,600,700,700,800,200,200,200,200,300,800,800,900,900,1100,
Transportation,High-speed intercity rail vehicle speed requirement for exempt high-speed rail facility bonds,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Defined contribution plans,48400,60800,76900,87700,102100,0,0,0,0,0,48400,60800,76900,87700,102100,Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. 
Income security,Additional standard deduction for the blind and the elderly,2700,2600,3000,3800,4000,0,0,0,0,0,2700,2600,3000,3800,4000,
Income security,Deduction for casualty and theft losses,300,400,400,400,400,0,0,0,0,0,300,400,400,400,400,
Income security,Earned income credit,59500,59700,58100,58400,58500,0,0,0,0,0,59500,59700,58100,58400,58500,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Income security,Defined benefit plans,42700,46300,54300,58700,61600,0,0,0,0,0,42700,46300,54300,58700,61600,Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. 
Income security,Exclusion of damages on account of personal physical injuries or physical sickness,1600,1600,1600,1600,1700,0,0,0,0,0,1600,1600,1600,1600,1700,
Income security,Exclusion of disaster mitigation payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Exclusion of cash public assistance benefits,3400,4400,4900,5000,5100,0,0,0,0,0,3400,4400,4900,5000,5100,
Income security,Exclusion of special benefits for disabled coal miners,<50,<50,<50,<50,<50,0,0,0,0,0,0,0,0,0,0,
Income security,Exclusion of survivor annuities paid to families of public safety officers killed in the line of duty,<50,<50,<50,<50,<50,0,0,0,0,0,0,0,0,0,0,
Income security,Exclusion of workers' compensation benefits (disability and survivors payments),3700,3900,4100,4400,4700,0,0,0,0,0,3700,3900,4100,4400,4700,
Income security,Roth IRAs,3200,4000,4900,5600,6400,0,0,0,0,0,3200,4000,4900,5600,6400,
Income security,Traditional IRAs,7300,8200,13300,16000,17500,0,0,0,0,0,7300,8200,13300,16000,17500,
Income security,Credit for certain individuals for elective deferrals and IRA contributions,1000,1000,1000,1000,1000,0,0,0,0,0,1000,1000,1000,1000,1000,
Income security,Making work pay credit,15500,0,0,0,0,0,0,0,0,0,15500,0,0,0,0,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Income security,"Phase out of the personal exemption for the regular income tax, and disallowance of the personal exemption and the standard deduction against the alternative minimum tax",-9800,-40700,-56000,-43100,-49100,0,0,0,0,0,-9800,-40700,-56000,-43100,-49100,This is a negative tax expenditure for the 2011-2015 period.
Income security,Premiums on accident and disability insurance,3400,3600,3700,3800,4000,0,0,0,0,0,3400,3600,3700,3800,4000,
Income security,Premiums on group term life insurance (excludes payroll taxes),1600,1700,1900,1900,2000,0,0,0,0,0,1600,1700,1900,1900,2000,
Income security,Plans covering partners and sole proprietors (sometimes referred to as ''Keogh plans''),14200,15500,15800,16300,16900,0,0,0,0,0,14200,15500,15800,16300,16900,Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. 
"General science, space, and technology",Credit for increasing research activities (Code section 41),100,100,100,100,100,5800,4600,3400,2600,2000,5900,4700,3500,2700,2100,
"General science, space, and technology",Expensing of research and experimental expenditures,100,100,100,100,100,4100,3900,4900,6000,6900,4200,4000,5000,6100,7000,
"General science, space, and technology",Therapeutic research credit,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,
International affairs,Apportionment of research and development expenses for determination of foreign tax credits,0,0,0,0,0,300,400,400,400,400,300,400,400,400,400,
International affairs,Deduction for foreign taxes instead of a credit,0,0,0,0,0,200,200,200,300,300,200,200,200,300,300,
International affairs,Deferral of active income of controlled foreign corporations,0,0,0,0,0,15300,16100,17300,18400,19600,15300,16100,17300,18400,19600,
International affairs,Deferral of active financing income,0,0,0,0,0,6200,4800,0,0,0,6200,4800,0,0,0,Does not include provision that permits look-through of payments between related controlled foreign corporations.
International affairs,Exclusion of certain allowances for Federal employees abroad,1700,1800,1900,2000,2100,0,0,0,0,0,1700,1800,1900,2000,2100,
International affairs,Exclusion of foreign earned income: Housing,1300,1400,1400,1500,1600,0,0,0,0,0,1300,1400,1400,1500,1600,
International affairs,Exclusion of foreign earned income: Salary,6100,6300,6500,6700,6900,0,0,0,0,0,6100,6300,6500,6700,6900,
International affairs,Interest expense allocation: Separate grouping of affiliated financial companies,0,0,0,0,0,1100,1200,1200,1300,1300,1100,1200,1200,1300,1300,
International affairs,Interest expense allocation: Unavailability of symmetric worldwide method,0,0,0,0,0,-2600,-2600,-2800,-3000,-3200,-2600,-2600,-2800,-3000,-3200,This is a negative tax expenditure for the 2011-2015 period.
International affairs,Inventory property sales source rule exception,0,0,0,0,0,6000,6100,6200,6300,6400,6000,6100,6200,6300,6400,
International affairs,Special rules for interest-charge domestic international sales corporations,0,0,0,0,0,600,600,400,100,100,600,600,400,100,100,
International affairs,Tonnage tax,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,
National Defense,Deduction for overnight-travel expenses of national guard and reserve members,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,
National Defense,Exclusion of benefits and allowances to armed forces personnel,4100,4600,5100,5400,5600,0,0,0,0,0,4100,4600,5100,5400,5600,
National Defense,Exclusion of combat pay,1000,1000,1100,1200,1200,0,0,0,0,0,1000,1000,1100,1200,1200,
National Defense,Exclusion of military disability benefits,200,200,200,200,200,0,0,0,0,0,200,200,200,200,200,
Agriculture,Exclusion of cost-sharing payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing by farmers for fertilizer and soil conditioner costs,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of soil and water conservation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of the costs of raising dairy and breeding cattle,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Five-year carryback period for net operating losses attributable to farming,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,
Agriculture,Income averaging for farmers and fishermen,<50,<50,<50,<50,<50,0,0,0,0,0,0,0,0,0,0,
Agriculture,Exclusion of cancellation of indebtedness income of farmers,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,
Community and regional development,Build America bonds,2500,3900,3900,3900,3900,0,0,0,0,0,2500,3900,3900,3900,3900,"Estimate includes an outlay to State and Local governments. For the purposes of this table outlays are attribute to individuals. Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Community and regional development,Credit for Indian reservation employment,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,0,0,
Community and regional development,National disaster relief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estimate contained in other provisions.
Community and regional development,District of Columbia tax incentives,100,100,100,100,100,100,<50,<50,<50,<50,200,100,100,100,100,
Community and regional development,Eliminate requirement that financial institutions allocate interest expense attributable to tax-exempt interest,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,
Community and regional development,Empowerment Zone tax incentives,200,100,<50,<50,<50,200,100,<50,<50,<50,400,200,0,0,0,
Community and regional development,Renewal community incentives,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Community and regional development,"Exclusion of interest on State and local government qualified private activity bonds for sewage, water, and hazardous waste facilities",300,300,300,400,400,100,100,100,100,100,400,400,400,500,500,
Community and regional development,New markets tax credit,<50,<50,<50,<50,<50,400,600,800,900,900,400,600,800,900,900,
Community and regional development,Issuance of recovery zone economic development bonds,100,200,200,200,200,<50,<50,<50,<50,<50,100,200,200,200,200,"Estimate includes an outlay to State and Local governments. For the purposes of this table outlays are attribute to individuals. Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Natural resources and environment,Amortization and expensing of reforestation expenditures,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,
Natural resources and environment,Special tax rate for qualified timber gain,400,400,400,500,500,0,0,0,0,0,400,400,400,500,500,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",<50,<50,<50,<50,<50,100,100,100,100,100,100,100,100,100,100,
Natural resources and environment,Exclusion of contributions in aid of construction of water and sewer utilities,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Exclusion of earnings of certain environmental settlement funds,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",<50,<50,<50,<50,<50,100,100,100,100,100,100,100,100,100,100,
Natural resources and environment,Expensing of timber-growing costs,<50,<50,<50,<50,<50,200,200,200,200,200,200,200,200,200,200,
Natural resources and environment,Special depreciation allowance for certain reuse and recycling property,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Special rules for mining reclamation reserves,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Special tax rate for nuclear decommissioning reserve funds,0,0,0,0,0,900,1000,1100,1100,1200,900,1000,1100,1100,1200,
Natural resources and environment,Treatment of income from exploration and mining of natural resources as qualifying income under the publicly-traded partnership rules,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,
"Education, training, employment, and social services",Adoption credit and employee adoption benefits exclusion,1000,500,<50,<50,<50,0,0,0,0,0,1000,500,0,0,0,
"Education, training, employment, and social services",Credit for children under age 17,56400,56900,25700,15100,14900,0,0,0,0,0,56400,56900,25700,15100,14900,"Estimate includes an outlay to State and Local governments. For the purposes of this table outlays are attribute to individuals. Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
"Education, training, employment, and social services",Credit for child and dependent care and exclusion of employer-provided child care,4600,3100,2600,2600,2500,0,0,0,0,0,4600,3100,2600,2600,2500,Estimate includes employer-provided child care purchased through dependent care flexible spending accounts.
"Education, training, employment, and social services",Credit for disabled access expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
"Education, training, employment, and social services",Credit for holders of qualified zone academy bonds  ,<50,100,100,100,100,200,200,200,200,200,200,300,300,300,300,"Estimate includes an outlay to State and Local governments. For the purposes of this table outlays are attribute to individuals. Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
"Education, training, employment, and social services",Credit for retention of certain newly hired workers,1500,600,<50,<50,<50,1700,900,300,200,100,3200,1500,300,200,100,
"Education, training, employment, and social services",Deduction for charitable contributions to educational institutions,5000,5400,6300,7000,7200,300,300,300,300,300,5300,5700,6600,7300,7500,
"Education, training, employment, and social services","Deduction for charitable contributions, other than for education and health",29100,31500,37300,41000,42700,900,900,900,900,1000,30000,32400,38200,41900,43700,"In addition to the general charitable deduction, the tax expenditure accounts for the higher percentage limitation for public charities, the fair market value deduction for related-use tangible personal property, the enhanced deduction for inventory, the fair market value deduction for publicly traded stock and exceptions to the partial interest rules."
"Education, training, employment, and social services",Deduction for interest on student loans,1100,1200,700,500,500,0,0,0,0,0,1100,1200,700,500,500,
"Education, training, employment, and social services",Deduction for higher education expenses,800,200,0,0,0,0,0,0,0,0,800,200,0,0,0,
"Education, training, employment, and social services",Deferral of taxation on spread of acquisition of stock under incentive stock option plans,300,300,300,300,400,-1100,-1200,-1200,-1300,-1300,-800,-900,-900,-1000,-900,This is a negative tax expenditure for the 2011-2015 period.
"Education, training, employment, and social services",Deferral of taxation on spread on employee stock purchase plans,100,100,100,100,100,-200,-200,-200,-200,-200,-100,-100,-100,-100,-100,This is a negative tax expenditure for the 2011-2015 period.
"Education, training, employment, and social services",Disallowance of deduction for excess parachute payments (applicable if payments to a disqualified individual are contingent on a change of control of a corporation and are equal to or greater than three times the individual's annualized includible compensation),0,0,0,0,0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,Estimate does not include effects of changes made by the Emergency Economic Stabilization Act of 2008. This is a negative tax expenditure for the 20011-2015 period.
"Education, training, employment, and social services",Exclusion of income attributable to the discharge of certain student loan debt and NHSC and certain state educational loan repayments,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,
"Education, training, employment, and social services",Exclusion of earnings of Coverdell education savings accounts,100,100,100,100,200,0,0,0,0,0,100,100,100,100,200,
"Education, training, employment, and social services",Credit for employer-provided dependent care,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
"Education, training, employment, and social services",Exclusion of benefits provided under cafeteria plans,31000,36000,39600,43800,47200,0,0,0,0,0,31000,36000,39600,43800,47200,Estimate includes amounts of employer-provided health insurance purchased through cafeteria plans and employer-provided child care purchased through dependent care flexible spending accounts. These amounts are also included in other line items in this table.
"Education, training, employment, and social services",Exclusion of certain foster care payments,400,400,400,400,400,0,0,0,0,0,400,400,400,400,400,
"Education, training, employment, and social services",Exclusion of employee awards,100,300,300,300,300,0,0,0,0,0,100,300,300,300,300,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),1100,1100,1200,1200,1300,0,0,0,0,0,1100,1100,1200,1200,1300,
"Education, training, employment, and social services",Exclusion of employer-provided education assistance benefits,900,900,900,1000,1000,0,0,0,0,0,900,900,900,1000,1000,
"Education, training, employment, and social services",Exclusion of employer-provided tuition reduction benefits,200,200,200,200,200,0,0,0,0,0,200,200,200,200,200,
"Education, training, employment, and social services",Exclusion of income earned by voluntary employees' beneficiary associations,3200,3300,3800,4100,4300,0,0,0,0,0,3200,3300,3800,4100,4300,
